,TEAM,SEED,WINS,LOSSES,SOS,REGION,ORDER,WINDIFSOS,SCH_PERF,NSGRADE,MELO
37,James Madison Dukes,12,31,3,4.33,SOUTH,5,8.81,32.29,48.16000000000003,1017
38,Duke Blue Devils,4,24,8,0.69,SOUTH,6,30.17,39.12,77.68000000000005,1155
39,Vermont Catamounts,13,28,6,4.44,SOUTH,7,6.89,22.05,39.52000000000001,928
40,Texas Tech Red Raiders,6,23,10,0.4,SOUTH,8,41.62,50.5,58.6,1181
41,NC State Wolfpack,11,22,14,0.39,SOUTH,9,26.62,40.26,50.68000000000004,1110
42,Kentucky Wildcats,3,23,9,0.39,SOUTH,10,46.49,49.93,73.72000000000001,1208
43,Oakland Golden Grizzlies,14,23,11,1.81,SOUTH,11,9.01,8.97,23.680000000000042,755
44,Florida Gators,7,24,10,0.44,SOUTH,12,40.69,50.5,58.96000000000003,1181
45,Colorado Buffaloes,10,24,10,0.84,SOUTH,13,21.78,26.03,61.12000000000001,1054
46,Marquette Golden Eagles,2,25,9,0.29,SOUTH,14,70.72,47.66,75.16000000000004,1224
47,Western Kentucky Hilltoppers,15,22,11,32.0,SOUTH,15,1.03,25.47,24.76000000000003,808
48,Purdue Boilermakers,1,29,4,0.37,MIDWEST,0,86.42,100.0,92.44000000000003,1366
49,Grambling Tigers,16,20,14,1.19,MIDWEST,1,6.98,1.0,1.0,97
50,Utah State Aggies,8,27,6,1.0,MIDWEST,2,27.29,18.07,52.12000000000001,994
51,TCU Horned Frogs,9,21,12,0.34,MIDWEST,3,34.51,22.05,61.840000000000025,1053
52,Gonzaga Bulldogs,5,25,7,0.59,MIDWEST,4,39.13,32.86,72.64000000000003,1135
53,McNeese Cowboys,12,30,3,12.0,MIDWEST,5,3.45,28.31,37.72000000000001,926
54,Kansas Jayhawks,4,22,10,0.3,MIDWEST,6,51.26,69.28,69.4,1256
55,Samford Bulldogs,13,29,5,1.0,MIDWEST,7,31.1,24.9,38.800000000000004,1019
56,South Carolina Gamecocks,6,26,7,0.48,MIDWEST,8,50.99,53.91,52.12000000000001,1190
57,Oregon Ducks,11,23,11,0.67,MIDWEST,9,23.47,23.76,52.840000000000025,1029
58,Creighton Bluejays,3,23,9,0.57,MIDWEST,10,31.73,48.22,78.4,1190
59,Akron Zips,14,24,10,2.81,MIDWEST,11,6.92,9.53,32.32000000000001,782
60,Texas Longhorns,7,20,12,0.31,MIDWEST,12,33.87,29.45,67.60000000000001,1104
61,Colorado State Rams,10,24,10,0.63,MIDWEST,13,28.7,22.62,49.24000000000002,1025
62,Tennessee Volunteers,2,24,8,0.3,MIDWEST,14,69.23,67.57,82.0,1284
63,Saint Peter's Peacocks,15,19,13,11.0,MIDWEST,15,1.29,19.21,12.16000000000003,705
